name,url,description,duration,test_type,job_level,language,pdf_url,pdf_data,rich_text,duration_mins
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",17.0,['Knowledge & Skills'],"Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/.NET MVC (New).pdf,"{'Assessment Name': '.NET MVC', 'Overview': 'Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.', 'Relevant Job Roles': '.Net Developer, Software Developer, Software Engineer, Application Developer, Technical Architect, Full Stack Developer', 'Language': 'English (US)', 'Average Testing Time': '17', 'Allowed Time': '30', 'Max Questions': '20', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Information Technology', 'Scores Reported': 'Overall Score, MVC Architecture, Models, Views and Controllers, Routing and Areas, Validation and Security', 'ONET Competency': 'Programming', 'Competencies Measured': ['MVC architecture', 'MVC life cycle', 'Inversion of control and dependency injection', 'Folder structure', 'Controllers, actions, and ﬁlters', 'Coupled and de-coupled classes', 'Data models and model binding', 'Views, partial views, and razors', 'MVC scaﬀolding and HTML helpers', 'Route table formation', 'Caching and sessions', 'Validations and exception handling', 'Authentication, authorization, and anti forgery token']}","Assessment Name: .NET MVC (New). Description: Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.. Job Level: Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 17.0 minutes. Overview: Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.. Allowed Time: 30. Max Questions: 20. Sittings: One. Sector: Information Technology. Competencies: MVC architecture, MVC life cycle, Inversion of control and dependency injection, Folder structure, Controllers, actions, and ﬁlters, Coupled and de-coupled classes, Data models and model binding, Views, partial views, and razors, MVC scaﬀolding and HTML helpers, Route table formation, Caching and sessions, Validations and exception handling, Authentication, authorization, and anti forgery token. Scores Reported: Overall Score, MVC Architecture, Models, Views and Controllers, Routing and Areas, Validation and Security. ONET Competency: Programming.",17
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",11.0,['Knowledge & Skills'],"Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/.NET WCF (New).pdf,"{'Assessment Name': '.NET WCF', 'Overview': 'Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.', 'Relevant Job Roles': '.Net Developer - WCF, Software Developer, Software Engineer, Application Developer, Technical Architect, Full Stack Developer', 'Language': 'English (US)', 'Average Testing Time': '11', 'Allowed Time': '15', 'Max Questions': '11', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Information Technology', 'Scores Reported': 'Overall Score\n.NET Basics\nWCF Architecture and Management\nProgramming WCF', 'ONET Competency': 'Programming', 'Competencies Measured': ['Language fundamentals, control statements and methods', 'Object-oriented programming and exception handling', 'Collections', 'Services and contracts', 'Messages, channels, behaviors', 'Message logging, hosting', 'Addresses and bindings', 'Clients and reliable sessions', 'Transactions, transfer modes, and security']}","Assessment Name: .NET WCF (New). Description: Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.. Job Level: Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 11.0 minutes. Overview: Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.. Allowed Time: 15. Max Questions: 11. Sittings: One. Sector: Information Technology. Competencies: Language fundamentals, control statements and methods, Object-oriented programming and exception handling, Collections, Services and contracts, Messages, channels, behaviors, Message logging, hosting, Addresses and bindings, Clients and reliable sessions, Transactions, transfer modes, and security. Scores Reported: Overall Score
.NET Basics
WCF Architecture and Management
Programming WCF. ONET Competency: Programming.",11
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",5.0,['Knowledge & Skills'],"Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/.NET XAML (New).pdf,"{'Assessment Name': '.NET XAML', 'Overview': 'Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.', 'Relevant Job Roles': '.Net Developer, Software Developer, Software Engineer, Application Developer, Technical Architect, Full Stack Developer', 'Language': 'English (US)', 'Average Testing Time': '05', 'Allowed Time': '07', 'Max Questions': '07', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Information Technology', 'Scores Reported': 'Overall Score', 'ONET Competency': 'Programming', 'Competencies Measured': ['Namespaces', 'Extensions and tags', 'Resources', 'Layouts', 'Controls', 'Event handlers', 'Triggers']}","Assessment Name: .NET XAML (New). Description: Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.. Job Level: Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 5.0 minutes. Overview: Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.. Allowed Time: 07. Max Questions: 07. Sittings: One. Sector: Information Technology. Competencies: Namespaces, Extensions and tags, Resources, Layouts, Controls, Event handlers, Triggers. Scores Reported: Overall Score. ONET Competency: Programming.",5
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.",,"['Personality & Behavior', 'Ability & Aptitude', 'Biodata & Situational Judgement', 'Assessment Exercises', 'Development & 360', 'Competencies']","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor",,https://service.shl.com/docs/Global Skills Development Report International English.pdf,"{'Assessment Name': 'Global Skills Assessment', 'Overview': 'The Global Skills Assessment measures 96 universal skills that underpin workplace behaviours and competencies. This report provides insight into skill strengths and development areas based on assessment results. The 96 skills are organised into 8 broad domains, highlighting top skills and areas for growth, along with on-the-job tips and suggestions to help excel in the workplace.', 'Relevant Job Roles': None, 'Language': None, 'Average Testing Time': None, 'Allowed Time': None, 'Max Questions': None, 'Sittings': None, 'Test Type': None, 'Sector': None, 'Scores Reported': 'Scores from the assessment show how responses compared with others who have taken the Global Skills Assessment.', 'ONET Competency': None, 'Competencies Measured': ['Leading and Deciding', 'Supporting and Co-operating', 'Interacting and Presenting', 'Analysing and Interpreting', 'Creating and Conceptualising', 'Organising and Executing']}","Assessment Name: Global Skills Development Report. Description: This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.. Job Level: Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor. Language: . Test Type: Personality & Behavior, Ability & Aptitude, Biodata & Situational Judgement, Assessment Exercises, Development & 360, Competencies. Duration: nan minutes. Overview: The Global Skills Assessment measures 96 universal skills that underpin workplace behaviours and competencies. This report provides insight into skill strengths and development areas based on assessment results. The 96 skills are organised into 8 broad domains, highlighting top skills and areas for growth, along with on-the-job tips and suggestions to help excel in the workplace.. Allowed Time: . Max Questions: . Sittings: . Sector: . Competencies: Leading and Deciding, Supporting and Co-operating, Interacting and Presenting, Analysing and Interpreting, Creating and Conceptualising, Organising and Executing. Scores Reported: Scores from the assessment show how responses compared with others who have taken the Global Skills Assessment..",0
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",5.0,['Knowledge & Skills'],"Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/.NET MVVM (New).pdf,"{'Assessment Name': '.NET MVVM', 'Overview': 'Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.', 'Relevant Job Roles': '.Net Developer, Software Developer, Software Engineer, Application Developer, Technical Architect, Full Stack Developer', 'Language': 'English (US)', 'Average Testing Time': '05', 'Allowed Time': '07', 'Max Questions': '07', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Information Technology', 'Scores Reported': 'Overall Score', 'ONET Competency': 'Programming', 'Competencies Measured': ['Model View Communication', 'WPF data bindings', 'Events', 'Validations']}","Assessment Name: .NET MVVM (New). Description: Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.. Job Level: Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 5.0 minutes. Overview: Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.. Allowed Time: 07. Max Questions: 07. Sittings: One. Sector: Information Technology. Competencies: Model View Communication, WPF data bindings, Events, Validations. Scores Reported: Overall Score. ONET Competency: Programming.",5
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",9.0,['Knowledge & Skills'],"Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/.NET WPF (New).pdf,"{'Assessment Name': '.NET WPF', 'Overview': 'Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.', 'Relevant Job Roles': '.Net WPF Developer, Software Developer - WPF, Software Engineer, Application Developer, Technical Architect, Full Stack Developer', 'Language': 'English (US)', 'Average Testing Time': '09', 'Allowed Time': '15', 'Max Questions': '11', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Information Technology', 'Scores Reported': ['Overall Score', 'Introduction to .NET', 'WPF Features and XAML', 'Structure and Deployment'], 'ONET Competency': 'Programming', 'Competencies Measured': ['Language fundamentals, control statements and methods', 'Object-oriented programming and exception handling', 'Collections', 'Application and user interface', 'XAML and its layout elements and events', 'Working with WPF controls, styles, triggers and control templates', 'Working with WPF windows and menus', 'Working with multimedia, graphics and animations', 'Data binding, commands and MVVM', 'Deploying WPF applications']}","Assessment Name: .NET WPF (New). Description: Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.. Job Level: Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 9.0 minutes. Overview: Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.. Allowed Time: 15. Max Questions: 11. Sittings: One. Sector: Information Technology. Competencies: Language fundamentals, control statements and methods, Object-oriented programming and exception handling, Collections, Application and user interface, XAML and its layout elements and events, Working with WPF controls, styles, triggers and control templates, Working with WPF windows and menus, Working with multimedia, graphics and animations, Data binding, commands and MVVM, Deploying WPF applications. Scores Reported: Overall Score, Introduction to .NET, WPF Features and XAML, Structure and Deployment. ONET Competency: Programming.",9
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.",30.0,['Knowledge & Skills'],"Professional Individual Contributor, Mid-Professional",English (USA),https://service.shl.com/docs/Fact_Sheet-dotnet_framework_4.5.pdf,"{'Assessment Name': '.NET Framework 4.5', 'Overview': 'The .NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users.', 'Relevant Job Roles': 'Programmers, Application Developers', 'Language': None, 'Average Testing Time': '26 minutes', 'Allowed Time': '90 minutes', 'Max Questions': '30 questions', 'Sittings': 'One', 'Test Type': 'Multiple Choice - Adaptive', 'Sector': 'Information Technology', 'Scores Reported': None, 'ONET Competency': None, 'Competencies Measured': ['Application Development', 'Application Foundations', 'Data Modelling', 'Deployment', 'Diagnostics', 'Performance', 'Portability', 'Security']}","Assessment Name: .NET Framework 4.5. Description: The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.. Job Level: Professional Individual Contributor, Mid-Professional. Language: English (USA). Test Type: Knowledge & Skills. Duration: 30.0 minutes. Overview: The .NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users.. Allowed Time: 90 minutes. Max Questions: 30 questions. Sittings: One. Sector: Information Technology. Competencies: Application Development, Application Foundations, Data Modelling, Deployment, Diagnostics, Performance, Portability, Security.",30
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",9.0,['Knowledge & Skills'],"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/Accounts Payable (New).pdf,"{'Assessment Name': 'Accounts Payable', 'Overview': 'Multi-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.', 'Relevant Job Roles': 'Accounts Payable Specialist, Bookkeeping, Accounting, and Auditing Clerk, Statement Clerk, Billing, Cost, and Rate Clerks', 'Language': 'English (US)', 'Average Testing Time': '09', 'Allowed Time': '15', 'Max Questions': '12', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Accounting and Finance', 'Scores Reported': ['Overall Score', 'Accounts Payable Fundamentals', 'Accounting Principles', 'Payment Settlement'], 'ONET Competency': 'Economics and Accounting', 'Competencies Measured': ['Accounts payable end-to-end process', 'AP vendor master', 'Accounting principles', 'AP invoice processing', 'AP payment processing', 'Claims management']}","Assessment Name: Accounts Payable (New). Description: Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.. Job Level: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 9.0 minutes. Overview: Multi-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.. Allowed Time: 15. Max Questions: 12. Sittings: One. Sector: Accounting and Finance. Competencies: Accounts payable end-to-end process, AP vendor master, Accounting principles, AP invoice processing, AP payment processing, Claims management. Scores Reported: Overall Score, Accounts Payable Fundamentals, Accounting Principles, Payment Settlement. ONET Competency: Economics and Accounting.",9
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Multiple-choice test that measures the knowledge of processing receivables and invoices.,13.0,['Knowledge & Skills'],"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/Accounts Receivable (New).pdf,"{'Assessment Name': 'Accounts Receivable', 'Overview': 'Multi-choice test that measures the knowledge of processing receivables and invoices.', 'Relevant Job Roles': 'Accounts Receivable Specialist, Bill and Account Collectors, Bookkeeping, Accounting, and Auditing Clerks, Statement Clerks, Billing, Cost, and Rate Clerks, Collection Agent', 'Language': 'English (US)', 'Average Testing Time': '13', 'Allowed Time': '15', 'Max Questions': '12', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Accounting and Finance', 'Scores Reported': ['Overall Score', 'Accounts Receivable Fundamentals', 'Cash Management', 'Client Management'], 'ONET Competency': 'Economics and Accounting', 'Competencies Measured': ['Credit management', 'OTC end-to-end cycle', 'Cash applications', 'Collections', 'Deductions', 'Journal entries', 'Billing and order management', 'Master data management']}","Assessment Name: Accounts Receivable (New). Description: Multiple-choice test that measures the knowledge of processing receivables and invoices.. Job Level: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 13.0 minutes. Overview: Multi-choice test that measures the knowledge of processing receivables and invoices.. Allowed Time: 15. Max Questions: 12. Sittings: One. Sector: Accounting and Finance. Competencies: Credit management, OTC end-to-end cycle, Cash applications, Collections, Deductions, Journal entries, Billing and order management, Master data management. Scores Reported: Overall Score, Accounts Receivable Fundamentals, Cash Management, Client Management. ONET Competency: Economics and Accounting.",13
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",10.0,['Knowledge & Skills'],"Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/ADO.NET (New).pdf,"{'Assessment Name': 'ADO.NET', 'Overview': 'Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.', 'Relevant Job Roles': '.Net Developer, Software Developer, Software Engineer, Application Developer, Technical Architect, Full Stack Developer', 'Language': 'English (US)', 'Average Testing Time': '10', 'Allowed Time': '15', 'Max Questions': '12', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Information Technology', 'Scores Reported': 'Overall Score', 'ONET Competency': 'Programming', 'Competencies Measured': ['Architecture and object model', 'Components', 'Data binding', 'Data manipulation', 'XML']}","Assessment Name: ADO.NET (New). Description: Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.. Job Level: Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 10.0 minutes. Overview: Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.. Allowed Time: 15. Max Questions: 12. Sittings: One. Sector: Information Technology. Competencies: Architecture and object model, Components, Data binding, Data manipulation, XML. Scores Reported: Overall Score. ONET Competency: Programming.",10
